Artist;Album;AlbumId;Track;Date#lazulinoother
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"My sputnik sweetheart";"1757630005000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Cut lips";"1757630829000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Embarrassing paintings (Agatha showed great initiative in art class this week)";"1757631035000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Water dreamer the same";"1757631237000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Painted girl's theme";"1757631609000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Agatka (Agatha! You're Being Melodramatic!)";"1757631807000"
"Weatherday";"Come In";"1b4f08d2-6204-4dad-ac76-150c1b8ee711";"Porcelain Hands";"1757632073000"
"Sufjan Stevens";"Javelin";"b2a2c1a2-97ca-4eb7-b97e-45c4aabebb8f";"So You Are Tired";"1757697819000"
"Billy Joel";"Storm Front";"00bbf072-3177-49c0-8662-8bc88d0cb1d0";"And So It Goes";"1757698118000"
"Fiona Apple";"When the Pawn...";"";"I Know";"1757699198000"
"The Magnetic Fields";"69 Love Songs";"06b4c4ec-1704-3454-9fa7-9daccbe3cf4e";"Epitaph for My Heart";"1757739630000"
"The Magnetic Fields";"69 Love Songs";"06b4c4ec-1704-3454-9fa7-9daccbe3cf4e";"Epitaph for My Heart";"1757739970000"
"The Magnetic Fields";"69 Love Songs";"06b4c4ec-1704-3454-9fa7-9daccbe3cf4e";"Epitaph for My Heart";"1757740312000"
"The Magnetic Fields";"69 Love Songs";"06b4c4ec-1704-3454-9fa7-9daccbe3cf4e";"Epitaph for My Heart";"1757740483000"
"Beach House";"Bloom";"24c99b7d-b243-450d-8477-46dfd4a8bfa3";"Wishes";"1757747888000"
"Beach House";"Once Twice Melody";"52b07f80-3239-4652-85da-0ead84e432fb";"Superstar";"1757748183000"
"Beach House";"Once Twice Melody";"52b07f80-3239-4652-85da-0ead84e432fb";"New Romance";"1757748688000"
"Beach House";"Depression Cherry";"06399b45-57a0-42e4-b048-43908b3e4a53";"Days of Candy";"1757748941000"
"Beach House";"Devotion";"1b22d999-b30b-356d-9370-c1e07d0223c5";"All the Years";"1757749363000"
